"","year","month","gov_gop","sen_gop","rep_gop","gov_dem","sen_dem","rep_dem","president","close","unemployment"
"1107",58,"February",NA,NA,NA,NA,NA,NA,NA,40.84,NA
"1108",58,"March",NA,NA,NA,NA,NA,NA,NA,42.099998,NA
"1109",58,"April",NA,NA,NA,NA,NA,NA,NA,43.439999,NA
"1110",58,"May",NA,NA,NA,NA,NA,NA,NA,44.09,NA
"1111",58,"June",NA,NA,NA,NA,NA,NA,NA,45.240002,NA
"1112",58,"July",NA,NA,NA,NA,NA,NA,NA,47.189999,NA
"1113",58,"August",NA,NA,NA,NA,NA,NA,NA,47.75,NA
"1114",58,"September",NA,NA,NA,NA,NA,NA,NA,50.060001,NA
"1115",58,"October",NA,NA,NA,NA,NA,NA,NA,51.330002,NA
"1116",58,"November",NA,NA,NA,NA,NA,NA,NA,52.48,NA
"1117",58,"December",NA,NA,NA,NA,NA,NA,NA,55.209999,NA
"1118",59,"January",NA,NA,NA,NA,NA,NA,NA,55.450001,NA
"1119",59,"February",NA,NA,NA,NA,NA,NA,NA,55.41,NA
"1120",59,"March",NA,NA,NA,NA,NA,NA,NA,55.439999,NA
"1121",59,"April",NA,NA,NA,NA,NA,NA,NA,57.59,NA
"1122",59,"May",NA,NA,NA,NA,NA,NA,NA,58.68,NA
"1123",59,"June",NA,NA,NA,NA,NA,NA,NA,58.470001,NA
"1124",59,"July",NA,NA,NA,NA,NA,NA,NA,60.509998,NA
"1125",59,"August",NA,NA,NA,NA,NA,NA,NA,59.599998,NA
"1126",59,"September",NA,NA,NA,NA,NA,NA,NA,56.880001,NA
"1127",59,"October",NA,NA,NA,NA,NA,NA,NA,57.52,NA
"1128",59,"November",NA,NA,NA,NA,NA,NA,NA,58.279999,NA
"1129",59,"December",NA,NA,NA,NA,NA,NA,NA,59.889999,NA
"1130",60,"January",NA,NA,NA,NA,NA,NA,NA,55.610001,NA
"1131",60,"February",NA,NA,NA,NA,NA,NA,NA,56.119999,NA
"1132",60,"March",NA,NA,NA,NA,NA,NA,NA,55.34,NA
"1133",60,"April",NA,NA,NA,NA,NA,NA,NA,54.369999,NA
"1134",60,"May",NA,NA,NA,NA,NA,NA,NA,55.830002,NA
"1135",60,"June",NA,NA,NA,NA,NA,NA,NA,56.919998,NA
"1136",60,"July",NA,NA,NA,NA,NA,NA,NA,55.509998,NA
"1137",60,"August",NA,NA,NA,NA,NA,NA,NA,56.959999,NA
"1138",60,"September",NA,NA,NA,NA,NA,NA,NA,53.52,NA
"1139",60,"October",NA,NA,NA,NA,NA,NA,NA,53.389999,NA
"1140",60,"November",NA,NA,NA,NA,NA,NA,NA,55.540001,NA
"1141",60,"December",NA,NA,NA,NA,NA,NA,NA,58.110001,NA
"1142",61,"January",NA,NA,NA,NA,NA,NA,NA,61.779999,NA
"1143",61,"February",NA,NA,NA,NA,NA,NA,NA,63.439999,NA
"1144",61,"March",NA,NA,NA,NA,NA,NA,NA,65.059998,NA
"1145",61,"April",NA,NA,NA,NA,NA,NA,NA,65.309998,NA
"1146",61,"May",NA,NA,NA,NA,NA,NA,NA,66.559998,NA
"1147",61,"June",NA,NA,NA,NA,NA,NA,NA,64.639999,NA
"1148",61,"July",NA,NA,NA,NA,NA,NA,NA,66.760002,NA
"1149",61,"August",NA,NA,NA,NA,NA,NA,NA,68.07,NA
"1150",61,"September",NA,NA,NA,NA,NA,NA,NA,66.730003,NA
"1151",61,"October",NA,NA,NA,NA,NA,NA,NA,68.620003,NA
"1152",61,"November",NA,NA,NA,NA,NA,NA,NA,71.32,NA
"1153",61,"December",NA,NA,NA,NA,NA,NA,NA,71.550003,NA
"1154",62,"January",NA,NA,NA,NA,NA,NA,NA,68.839996,NA
"1155",62,"February",NA,NA,NA,NA,NA,NA,NA,69.959999,NA
"1156",62,"March",NA,NA,NA,NA,NA,NA,NA,69.550003,NA
"1157",62,"April",NA,NA,NA,NA,NA,NA,NA,65.239998,NA
"1158",62,"May",NA,NA,NA,NA,NA,NA,NA,59.630001,NA
"1159",62,"June",NA,NA,NA,NA,NA,NA,NA,54.75,NA
"1160",62,"July",NA,NA,NA,NA,NA,NA,NA,58.23,NA
"1161",62,"August",NA,NA,NA,NA,NA,NA,NA,59.119999,NA
"1162",62,"September",NA,NA,NA,NA,NA,NA,NA,56.27,NA
"1163",62,"October",NA,NA,NA,NA,NA,NA,NA,56.52,NA
"1164",62,"November",NA,NA,NA,NA,NA,NA,NA,62.259998,NA
"1165",62,"December",NA,NA,NA,NA,NA,NA,NA,63.099998,NA
"1166",63,"January",NA,NA,NA,NA,NA,NA,NA,66.199997,NA
"1167",63,"February",NA,NA,NA,NA,NA,NA,NA,64.290001,NA
"1168",63,"March",NA,NA,NA,NA,NA,NA,NA,66.57,NA
"1169",63,"April",NA,NA,NA,NA,NA,NA,NA,69.800003,NA
"1170",63,"May",NA,NA,NA,NA,NA,NA,NA,70.800003,NA
"1171",63,"June",NA,NA,NA,NA,NA,NA,NA,69.370003,NA
"1172",63,"July",NA,NA,NA,NA,NA,NA,NA,69.129997,NA
"1173",63,"August",NA,NA,NA,NA,NA,NA,NA,72.5,NA
"1174",63,"September",NA,NA,NA,NA,NA,NA,NA,71.699997,NA
"1175",63,"October",NA,NA,NA,NA,NA,NA,NA,74.010002,NA
"1176",63,"November",NA,NA,NA,NA,NA,NA,NA,73.230003,NA
"1177",63,"December",NA,NA,NA,NA,NA,NA,NA,75.019997,NA
"1178",64,"January",NA,NA,NA,NA,NA,NA,NA,77.040001,NA
"1179",64,"February",NA,NA,NA,NA,NA,NA,NA,77.800003,NA
"1180",64,"March",NA,NA,NA,NA,NA,NA,NA,78.980003,NA
"1181",64,"April",NA,NA,NA,NA,NA,NA,NA,79.459999,NA
"1182",64,"May",NA,NA,NA,NA,NA,NA,NA,80.370003,NA
"1183",64,"June",NA,NA,NA,NA,NA,NA,NA,81.690002,NA
"1184",64,"July",NA,NA,NA,NA,NA,NA,NA,83.18,NA
"1185",64,"August",NA,NA,NA,NA,NA,NA,NA,81.830002,NA
"1186",64,"September",NA,NA,NA,NA,NA,NA,NA,84.18,NA
"1187",64,"October",NA,NA,NA,NA,NA,NA,NA,84.860001,NA
"1188",64,"November",NA,NA,NA,NA,NA,NA,NA,84.419998,NA
"1189",64,"December",NA,NA,NA,NA,NA,NA,NA,84.75,NA
"1190",65,"January",NA,NA,NA,NA,NA,NA,NA,87.559998,NA
"1191",65,"February",NA,NA,NA,NA,NA,NA,NA,87.43,NA
"1192",65,"March",NA,NA,NA,NA,NA,NA,NA,86.160004,NA
"1193",65,"April",NA,NA,NA,NA,NA,NA,NA,89.110001,NA
"1194",65,"May",NA,NA,NA,NA,NA,NA,NA,88.419998,NA
"1195",65,"June",NA,NA,NA,NA,NA,NA,NA,84.120003,NA
"1196",65,"July",NA,NA,NA,NA,NA,NA,NA,85.25,NA
"1197",65,"August",NA,NA,NA,NA,NA,NA,NA,87.169998,NA
"1198",65,"September",NA,NA,NA,NA,NA,NA,NA,89.959999,NA
"1199",65,"October",NA,NA,NA,NA,NA,NA,NA,92.419998,NA
"1200",65,"November",NA,NA,NA,NA,NA,NA,NA,91.610001,NA
"1201",65,"December",NA,NA,NA,NA,NA,NA,NA,92.43,NA
"1202",66,"January",NA,NA,NA,NA,NA,NA,NA,92.879997,NA
"1203",66,"February",NA,NA,NA,NA,NA,NA,NA,91.220001,NA
"1204",66,"March",NA,NA,NA,NA,NA,NA,NA,89.230003,NA
"1205",66,"April",NA,NA,NA,NA,NA,NA,NA,91.059998,NA
"1206",66,"May",NA,NA,NA,NA,NA,NA,NA,86.129997,NA
"1207",66,"June",NA,NA,NA,NA,NA,NA,NA,84.739998,NA
"1208",66,"July",NA,NA,NA,NA,NA,NA,NA,83.599998,NA
"1209",66,"August",NA,NA,NA,NA,NA,NA,NA,77.099998,NA
"1210",66,"September",NA,NA,NA,NA,NA,NA,NA,76.559998,NA
"1211",66,"October",NA,NA,NA,NA,NA,NA,NA,80.199997,NA
"1212",66,"November",NA,NA,NA,NA,NA,NA,NA,80.449997,NA
"1213",66,"December",NA,NA,NA,NA,NA,NA,NA,80.330002,NA
"1214",67,"January",NA,NA,NA,NA,NA,NA,NA,86.610001,NA
"1215",67,"February",NA,NA,NA,NA,NA,NA,NA,86.779999,NA
"1216",67,"March",NA,NA,NA,NA,NA,NA,NA,90.199997,NA
"1217",67,"April",NA,NA,NA,NA,NA,NA,NA,94.010002,NA
"1218",67,"May",NA,NA,NA,NA,NA,NA,NA,89.080002,NA
"1219",67,"June",NA,NA,NA,NA,NA,NA,NA,90.639999,NA
"1220",67,"July",NA,NA,NA,NA,NA,NA,NA,94.75,NA
"1221",67,"August",NA,NA,NA,NA,NA,NA,NA,93.639999,NA
"1222",67,"September",NA,NA,NA,NA,NA,NA,NA,96.709999,NA
"1223",67,"October",NA,NA,NA,NA,NA,NA,NA,93.300003,NA
"1224",67,"November",NA,NA,NA,NA,NA,NA,NA,94,NA
"1225",67,"December",NA,NA,NA,NA,NA,NA,NA,96.470001,NA
"1226",68,"January",NA,NA,NA,NA,NA,NA,NA,92.239998,NA
"1227",68,"February",NA,NA,NA,NA,NA,NA,NA,89.360001,NA
"1228",68,"March",NA,NA,NA,NA,NA,NA,NA,90.199997,NA
"1229",68,"April",NA,NA,NA,NA,NA,NA,NA,97.459999,NA
"1230",68,"May",NA,NA,NA,NA,NA,NA,NA,98.68,NA
"1231",68,"June",NA,NA,NA,NA,NA,NA,NA,99.580002,NA
"1232",68,"July",NA,NA,NA,NA,NA,NA,NA,97.739998,NA
"1233",68,"August",NA,NA,NA,NA,NA,NA,NA,98.860001,NA
"1234",68,"September",NA,NA,NA,NA,NA,NA,NA,102.669998,NA
"1235",68,"October",NA,NA,NA,NA,NA,NA,NA,103.410004,NA
"1236",68,"November",NA,NA,NA,NA,NA,NA,NA,108.370003,NA
"1237",68,"December",NA,NA,NA,NA,NA,NA,NA,103.860001,NA
"1238",69,"January",NA,NA,NA,NA,NA,NA,NA,103.010002,NA
"1239",69,"February",NA,NA,NA,NA,NA,NA,NA,98.129997,NA
"1240",69,"March",NA,NA,NA,NA,NA,NA,NA,101.510002,NA
"1241",69,"April",NA,NA,NA,NA,NA,NA,NA,103.690002,NA
"1242",69,"May",NA,NA,NA,NA,NA,NA,NA,103.459999,NA
"1243",69,"June",NA,NA,NA,NA,NA,NA,NA,97.709999,NA
"1244",69,"July",NA,NA,NA,NA,NA,NA,NA,91.830002,NA
"1245",69,"August",NA,NA,NA,NA,NA,NA,NA,95.510002,NA
"1246",69,"September",NA,NA,NA,NA,NA,NA,NA,93.120003,NA
"1247",69,"October",NA,NA,NA,NA,NA,NA,NA,97.120003,NA
"1248",69,"November",NA,NA,NA,NA,NA,NA,NA,93.809998,NA
"1249",69,"December",NA,NA,NA,NA,NA,NA,NA,92.059998,NA
"1250",70,"January",NA,NA,NA,NA,NA,NA,NA,85.019997,NA
"1251",70,"February",NA,NA,NA,NA,NA,NA,NA,89.5,NA
"1252",70,"March",NA,NA,NA,NA,NA,NA,NA,89.629997,NA
"1253",70,"April",NA,NA,NA,NA,NA,NA,NA,81.519997,NA
"1254",70,"May",NA,NA,NA,NA,NA,NA,NA,76.550003,NA
"1255",70,"June",NA,NA,NA,NA,NA,NA,NA,72.720001,NA
"1256",70,"July",NA,NA,NA,NA,NA,NA,NA,78.050003,NA
"1257",70,"August",NA,NA,NA,NA,NA,NA,NA,81.519997,NA
"1258",70,"September",NA,NA,NA,NA,NA,NA,NA,84.300003,NA
"1259",70,"October",NA,NA,NA,NA,NA,NA,NA,83.25,NA
"1260",70,"November",NA,NA,NA,NA,NA,NA,NA,87.199997,NA
"1261",70,"December",NA,NA,NA,NA,NA,NA,NA,92.150002,NA
"1262",71,"January",NA,NA,NA,NA,NA,NA,NA,95.879997,NA
"1263",71,"February",NA,NA,NA,NA,NA,NA,NA,96.75,NA
"1264",71,"March",NA,NA,NA,NA,NA,NA,NA,100.309998,NA
"1265",71,"April",NA,NA,NA,NA,NA,NA,NA,103.949997,NA
"1266",71,"May",NA,NA,NA,NA,NA,NA,NA,99.629997,NA
"1267",71,"June",NA,NA,NA,NA,NA,NA,NA,98.699997,NA
"1268",71,"July",NA,NA,NA,NA,NA,NA,NA,95.580002,NA
"1269",71,"August",NA,NA,NA,NA,NA,NA,NA,99.029999,NA
"1270",71,"September",NA,NA,NA,NA,NA,NA,NA,98.339996,NA
